timestamp,open,high,low,close,volume
2024-01-01 00:00:00,1.10450,1.10520,1.10380,1.10485,125430
2024-01-01 01:00:00,1.10485,1.10545,1.10420,1.10510,118920
2024-01-01 02:00:00,1.10510,1.10580,1.10450,1.10565,132450
2024-01-01 03:00:00,1.10565,1.10620,1.10500,1.10590,145230
2024-01-01 04:00:00,1.10590,1.10650,1.10530,1.10625,138760
2024-01-01 05:00:00,1.10625,1.10680,1.10560,1.10655,152340
2024-01-01 06:00:00,1.10655,1.10710,1.10595,1.10685,167890
2024-01-01 07:00:00,1.10685,1.10750,1.10620,1.10720,181230
2024-01-01 08:00:00,1.10720,1.10790,1.10655,1.10765,195670
2024-01-01 09:00:00,1.10765,1.10825,1.10700,1.10800,203450
2024-01-01 10:00:00,1.10800,1.10865,1.10735,1.10840,218920
2024-01-01 11:00:00,1.10840,1.10895,1.10775,1.10870,226780
2024-01-01 12:00:00,1.10870,1.10925,1.10805,1.10895,234560
2024-01-01 13:00:00,1.10895,1.10950,1.10830,1.10920,247890
2024-01-01 14:00:00,1.10920,1.10975,1.10855,1.10940,261230
2024-01-01 15:00:00,1.10940,1.10880,1.10820,1.10850,272450
2024-01-01 16:00:00,1.10850,1.10780,1.10710,1.10735,265890
2024-01-01 17:00:00,1.10735,1.10680,1.10620,1.10655,248920
2024-01-01 18:00:00,1.10655,1.10710,1.10640,1.10685,223450
2024-01-01 19:00:00,1.10685,1.10730,1.10665,1.10705,198760
2024-01-01 20:00:00,1.10705,1.10745,1.10685,1.10715,176230
2024-01-01 21:00:00,1.10715,1.10755,1.10695,1.10725,154890
2024-01-01 22:00:00,1.10725,1.10760,1.10705,1.10735,142340
2024-01-01 23:00:00,1.10735,1.10770,1.10715,1.10745,128920
